node1,node2,weight
Salut Bonjour,Refuge animal,49
Salut Bonjour,Gala Artis,27
Salut Bonjour,Faites-moi confiance,29
Salut Bonjour,Flip TFO,46
Crisis,Days of our Lives,55
Crisis,The Biggest Loser,35
Crisis,Parks and Recreation,79
Crisis,Kansas City Live,41
Getaway,The Celebrity Apprentice Australia,86
Getaway,Sea Patrol,32
Getaway,Wide World of Sports,8
Getaway,A Current Affair,90
Wonder Showzen,The Voice Kids - Brasil,12
Wonder Showzen,Mais Você,62
Wonder Showzen,SuperStar,63
Wonder Showzen,Adnight Show,16
Wonder Showzen,BBB,17
Wonder Showzen,Zero1,66
The Jamie Foxx Show,Hochzeit auf den ersten Blick,16
The Jamie Foxx Show,SAT.1 Film & Serie,72
The Jamie Foxx Show,DER LETZTE BULLE,18
The Jamie Foxx Show,ran,76
The Jamie Foxx Show,In Gefahr,23
The Jamie Foxx Show,SAT.1 Show,15
The Jamie Foxx Show,Auf Streife,32
The Jamie Foxx Show,SAT.1 Frühstücksfernsehen,5
Crazy Hearts: Nashville on A&E,Join Or Die with Craig Ferguson,43
Crazy Hearts: Nashville on A&E,Country Buck$ on A&E,34
Crazy Hearts: Nashville on A&E,Modern Dads on A&E,34
Crazy Hearts: Nashville on A&E,Duck Dynasty on A&E,34
Crazy Hearts: Nashville on A&E,Bad Ink on A&E,19
Crazy Hearts: Nashville on A&E,Storage Wars: New York on A&E,89
Crazy Hearts: Nashville on A&E,Wahlburgers on A&E,6
Crazy Hearts: Nashville on A&E,Shipping Wars on A&E,48
Crazy Hearts: Nashville on A&E,Storage Wars: Texas on A&E,59
Crazy Hearts: Nashville on A&E,Don't Trust Andrew Mayne on A&E,49
Crazy Hearts: Nashville on A&E,Longmire,43
Crazy Hearts: Nashville on A&E,Bates Motel on A&E,20
Crazy Hearts: Nashville on A&E,A&E Investigates: The First 48,61
Crazy Hearts: Nashville on A&E,Storage Wars on A&E,39
Crazy Hearts: Nashville on A&E,American Hoggers on A&E,43
Crazy Hearts: Nashville on A&E,Those Who Kill,51
Crazy Hearts: Nashville on A&E,The Glades on A&E,45
Crazy Hearts: Nashville on A&E,Beyond Scared Straight on A&E,30
Wentworth,Australia's Next Top Model,56
Lietuvos balsas,The Voice of Germany,44
Lietuvos balsas,The voice of Holland,10
Lietuvos balsas,The Voice Global,74
Rated K,Umagang KayGanda (Official Page),37
Liputan6SCTV,tvN 신서유기,70
Liputan6SCTV,SNL KOREA,62
Liputan6SCTV,응답하라 1988,49
Liputan6SCTV,드.디오,24
Liputan6SCTV,코미디빅리그,25
Liputan6SCTV,tvN 수요미식회,72
Liputan6SCTV,삼시세끼,41
Liputan6SCTV,tvN 집밥 백선생,80
Liputan6SCTV,tvN 문제적남자,85
Yo Soy El Artista,Un Nuevo Día,52
Yo Soy El Artista,CTVPowerPlay,19
Yo Soy El Artista,AL ROJO VIVO,87
Noticias 45 Houston,UniMás,76
Noticias 45 Houston,Noticias 23,27
Noticias 45 Houston,Babah Maftouh بابه مفتوح,6
Noticias 45 Houston,Nuestra Belleza Latina,22
Noticias 45 Houston,La Banda,93
Geek On the Loose - with Ankit Fadia,גאליס,5
Bare Feet with Mickela Mallozzi,NBC Nightly News with Lester Holt,40
The Kicks,Extra,31
The Kicks,Gortimer Gibbon's Life on Normal Street,15
The Stream,Peppa Pig,44
The Stream,Lifelines - Al Jazeera,65
The Stream,Al Jazeera World,73
The Stream,The Listening Post,42
The Stream,Ali Velshi On Target,82
The Stream,Witness - Al Jazeera,41
The Stream,Inside Story,75
The Stream,Talk to Al Jazeera,12
The Stream,Fault Lines,80
The Stream,101 East - Al Jazeera,35
The Stream,On The Menu,21
The Stream,earthrise - Al Jazeera,45
The Stream,Consider This,90
The Stream,Inside Story on Al Jazeera America,67
The Stream,People and Power,31
The Stream,EMPIRE: Al Jazeera English,73
The Sing Off,Kinetic Content: Betty White’s OTR,88
The Sing Off,Friday Night Lights,89
The Sing Off,Jay Leno,59
The Sing Off,Saturday Night Live,59
The Sing Off,Chuck,9
The Sing Off,The New Celebrity Apprentice,75
The Sing Off,Parks and Recreation,33
The Sing Off,The Tonight Show Starring Jimmy Fallon,13
The Sing Off,The Voice,49
The Sing Off,Minute to Win It,77
The Sing Off,The Biggest Loser,48
The Sing Off,Smash,33
The Sing Off,Community,67
The Sing Off,Who Do You Think You Are?,91
The Sing Off,Law & Order:  Special Victims Unit,45
The Sing Off,Fear Factor,95
The Sing Off,Sean Saves the World,20
The Sing Off,30 Rock,10
The Sing Off,Parenthood,86
The Sing Off,Days of our Lives,41
The Sing Off,Grimm,95
Au secours de Béatrice,Destinées productions pixcom,48
Au secours de Béatrice,Le Banquier,87
Au secours de Béatrice,Sucré Salé,87
Au secours de Béatrice,Fort Boyard TVA,87
Au secours de Béatrice,Les beaux malaises,56
Au secours de Béatrice,Gala Artis,74
Au secours de Béatrice,Le Tricheur,51
Au secours de Béatrice,Culture Vélo,50
Au secours de Béatrice,Faites-moi confiance,6
Au secours de Béatrice,À couteaux tirés,56
Letterkenny Problems,My Kitchen Rules,81
Perspectiva Nacional,Noticias Univision Florida Central,10
Survivor Türkiye,Fofocalizando,68
Survivor Türkiye,Gainesville on CMT,40
Survivor Türkiye,Yetenek Sizsiniz Türkiye,19
Survivor Türkiye,Yok Böyle Dans,59
Survivor Türkiye,O Ses Türkiye,13
melty Future Awards,SpongeBob SquarePants,50
UniMás,El Gordo y La Flaca,46
UniMás,Primer Impacto,83
UniMás,Univision Entretenimiento,79
UniMás,Premios Juventud,71
UniMás,Noticias Univision Tampa Bay,33
UniMás,Mira Quién Baila,86
UniMás,Sal y Pimienta,27
UniMás,Bao Young Blood,73
UniMás,Nuestra Belleza Latina,8
WDR Lokalzeit Südwestfalen,Aktuelle Stunde,47
WDR Lokalzeit Südwestfalen,WDR Lokalzeit aus Dortmund,8
SAT.1 Film & Serie,Hochzeit auf den ersten Blick,44
SAT.1 Film & Serie,Celebrity Family Feud,67
SAT.1 Film & Serie,SAT.1 Film & Serie,41
SAT.1 Film & Serie,DER LETZTE BULLE,82
SAT.1 Film & Serie,Akte,16
SAT.1 Film & Serie,The Biggest Loser - SAT.1,85
SAT.1 Film & Serie,Soko München,39
SAT.1 Film & Serie,The Good Doctor,25
SAT.1 Film & Serie,Die Harald Schmidt Show,51
SAT.1 Film & Serie,K11 - Kommissare im Einsatz,85
SAT.1 Film & Serie,SAT.1 Show,90
SAT.1 Film & Serie,Vino El Amor,74
SAT.1 Film & Serie,DuckTales,79
SAT.1 Film & Serie,MTV Catfish UK,15
SAT.1 Film & Serie,SAT.1 Frühstücksfernsehen,22
SAT.1 Film & Serie,ran,62
The List,Real Housewives of New Jersey,46
The List,American Idol,17
The List,Keeping Up With The Kardashians on E!,86
The List,Once Upon a Time,34
The List,Breaking Bad,73
The List,Redneck Island,84
The List,Real Housewives of New York City,60
The List,Real Housewives of Atlanta,59
The List,CMT Hot 20 Countdown,90
The List,MADtv,10
The List,TMZ,76
The List,House of Cards,12
The List,Dancing with the Stars,29
The List,The Tonight Show Starring Jimmy Fallon,6
The List,The Voice,54
The List,Game of Thrones,69
The List,Nashville,88
The List,666 Park Avenue,85
The List,Revenge,41
The List,The View,64
The List,Good Morning America,40
The List,Dallas Cowboys Cheerleaders: Making the Team,71
The List,Parenthood,36
The List,The Daily Show,21
The List,White Collar,47
The List,HLN News Now,38
The List,Real Housewives of Orange County,20
The List,The Bachelor,95
The List,The Wendy Williams Show,50
我們的島,Powerless,19
我們的島,獨立特派員,59
我們的島,流言追追追,27
我們的島,紀錄觀點,43
我們的島,Ninja Warrior Austria,88
我們的島,公視人生劇展／學生劇展,17
Rent on FOX,The Flintstones,94
Rent on FOX,Lois & Clark,14
Rent on FOX,MADtv,58
Rent on FOX,Batman: The Animated Series,79
Rent on FOX,Gilmore Girls,48
Rent on FOX,Looney Tunes,20
Rent on FOX,FRIENDS (TV Show),92
Mąż czy nie mąż TVN,Nie rób scen TVN,9
Mąż czy nie mąż TVN,Mali Giganci TVN,18
Mąż czy nie mąż TVN,Na Wspólnej TVN,75
Mąż czy nie mąż TVN,Żony Hollywood,88
Mąż czy nie mąż TVN,Prawo Agaty TVN,85
Mąż czy nie mąż TVN,Kuchenne Rewolucje,66
I'm A Celebrity Get Me Out Of Here Australia,Shark Tank Australia,8
I'm A Celebrity Get Me Out Of Here Australia,Bondi Vet on TEN,87
I'm A Celebrity Get Me Out Of Here Australia,The Living Room,62
I'm A Celebrity Get Me Out Of Here Australia,Have You Been Paying Attention?,18
I'm A Celebrity Get Me Out Of Here Australia,Anastasia and Faye,10
Norske Talenter,The Voice - Norges beste stemme,38
Norske Talenter,Asia's Got Talent,92
Norske Talenter,Programa Raul Gil,54
Norske Talenter,Skal vi danse,58
Norske Talenter,Britain's Got Talent,6
Maron,The Walking Dead,45
Maron,Mad Men,68
Maron,Talking Dead,12
Maron,Portlandia,50
Maron,Comedy Bang! Bang! on IFC,67
Maron,SMILF,45
UR Orka plugga,UR Lilla Aktuellt teckenspråk,71
Dr. House France,Pamela a la Tarde,44
Dr. House France,Grey's Anatomy France,34
Dr. House France,Esprits criminels,21
Dr. House France,FRINGE France,35
Dr. House France,Mentalist France,89
Dr. House France,Les Feux de l'Amour,24
Dr. House France,Vampire Diaries France,61
Dr. House France,Dexter France,6
Giải Mã Cơ Thể,K special,44
Giải Mã Cơ Thể,Kobra,70
Giải Mã Cơ Thể,SO YOU THINK YOU CAN DANCE ( version Viet Nam ),42
Giải Mã Cơ Thể,SONG ĐẤU,91
Hora 1,DC Cartoons,53
Hora 1,"""RJTV  Bom Dia Rio e G1 Rio""",74
Hora 1,Jornal da EPTV e Bom Dia Cidade - Sul de Minas,16
Hora 1,Bom Dia Brasil,52
Hora 1,Planeta Extremo TV Globo,83
Hora 1,"""SPTV",35
Hora 1,Globo Repórter,81
Hora 1,Jornal Hoje,15
Hora 1,Jornal da EPTV e Bom Dia Cidade - Ribeirão Preto,37
Hora 1,Fantástico - O Show da Vida,46
Hora 1,Jornal Nacional,84
Hora 1,The Hotel,5
Hora 1,Globo Rural,52
Hora 1,Day[9],21
Hora 1,Profissão Repórter,90
Basketball Wives,Wake Up Call,87
Basketball Wives,Love and Hip Hop,81
Basketball Wives,T.I. & Tiny: The Family Hustle,48
Basketball Wives,Latina Novelas,63
Basketball Wives,Big Morning Buzz Live,94
Basketball Wives,Centric Single Ladies,87
Basketball Wives,The Comedians,56
vo Mutzebächer,SRF Heimatland,70
vo Mutzebächer,Happy Day,55
vo Mutzebächer,Ich schänke dir es Lied,45
vo Mutzebächer,Giacobbo/Müller,12
vo Mutzebächer,Die grössten Schweizer Talente,12
vo Mutzebächer,@midnight,45
vo Mutzebächer,SRF Eurovision Song Contest,10
vo Mutzebächer,SRF bi de Lüt,89
Sun Records,Ten Eyewitness News Sydney,87
Sun Records,Ten Eyewitness News Melbourne,19
Sun Records,Ten Eyewitness News Queensland,40
Sun Records,Ten News,53
The Killing,Hell On Wheels,34
The Killing,The Walking Dead,88
The Killing,Mad Men,38
The Killing,Breaking Bad,73
The Killing,The Last Leg,44
The Killing,Comic Book Men,86
The Killing,SMILF,76
The People's Court,CW39,39
The People's Court,Family Feud,76
The People's Court,Good Morning America,57
The People's Court,The Meredith Vieira Show,33
The People's Court,The Tonight Show Starring Jimmy Fallon,20
The People's Court,The View,63
The People's Court,The Wendy Williams Show,81
Monte le son,Touche Pas à Mon Poste (TPMP),39
Die Muppets,Die Muppets,75
Die Muppets,The Muppets,38
愛台客-Iset,戲說台灣-iset三立,88
愛台客-Iset,寶島神很大,27
愛台客-Iset,草地狀元,79
愛台客-Iset,綜藝大熱門,61
愛台客-Iset,完全娛樂 ShowBiz,45
愛台客-Iset,The Moment,45
愛台客-Iset,型男大主廚,93
愛台客-Iset,在台灣的故事,61
愛台客-Iset,我的自由年代,28
愛台客-Iset,寶島漁很大,52
愛台客-Iset,超級紅人榜,93
愛台客-Iset,街角遇到wow,82
愛台客-Iset,青春好7淘-iSET,37
愛台客-Iset,三立華劇,48
愛台客-Iset,食尚玩家,20
愛台客-Iset,愛玩客,10
愛台客-Iset,超級夜總會,31
Hebe Camargo,Programa Hoje em Dia,87
Hebe Camargo,Conversa com Bial,90
Hebe Camargo,Roberto Justus +,23
Hebe Camargo,Mais Você,33
The Middle,GCB,89
The Middle,The View,25
The Middle,Mixology,42
The Middle,Extreme Weight Loss,20
The Middle,The Bachelorette,90
The Middle,Don't Trust the B in Apt 23,43
The Middle,A Series of Unfortunate Events,57
The Middle,Geer en Goor,37
The Middle,Guilt,30
The Middle,Mind Games,50
The Middle,Wipeout,20
The Middle,Last Resort,62
The Middle,Streamy Awards,90
The Middle,The Goldbergs,78
The Middle,5 à 7,74
The Middle,Once Upon a Time,94
The Middle,Secret Millionaire,44
The Middle,Brickleberry,54
The Middle,Back In The Game,69
The Middle,Body of Proof,36
The Middle,Sense8,25
The Middle,Resurrection,64
The Middle,Revenge,18
The Middle,Betrayal,90
The Middle,Motive,67
The Middle,Wife Swap,49
The Middle,V,42
The Middle,Cooking With Jack,81
The Middle,Malibu Country,62
The Middle,Dancing with the Stars,39
The Middle,The Taste,35
The Middle,Happy Endings,62
The Middle,Trophy Wife,95
The Middle,Modern Family,48
The Middle,Suburgatory,72
The Middle,Happy Town,6
The Middle,Nashville,39
The Middle,ABC7NY,81
The Middle,Whodunnit?,76
The Middle,Pasión y Poder,62
The Middle,Bet on Your Baby,11
The Middle,Les Tutos,13
The Middle,Ella es tu padre,30
The Middle,Brothers and Sisters,84
The Middle,Killer Women,65
The Middle,Scandal,49
The Middle,Last Man Standing,82
The Middle,General Hospital,95
The Middle,Better With You,22
The Middle,Mistresses,76
The Middle,Rookie Blue,18
The Middle,Family Tools,28
The Middle,Super Fun Night,73
The Middle,Shark Tank,68
The Middle,Lucky 7,38
The Middle,The Chew,29
The Middle,666 Park Avenue,84
The Middle,Agents of S.H.I.E.L.D.,75
The Middle,Timeless,63
The Middle,Splash,48
The Middle,"""Bem amigo""",69
The Middle,Scrubs,17
The Middle,Private Practice,70
The Middle,Pan Am,24
The Middle,Tin Star,34
The Middle,Desperate Housewives,9
The Middle,The Bachelor,34
The Middle,WWE Superstars,59
The Middle,Lost,8
The X Factor Israel ,The Voice ישראל,13
The X Factor Israel ,המירוץ למיליון,26
The X Factor Israel ,The X Factor,24
The X Factor Israel ,לפני החדשות,64
Inside the Actors Studio,Watch What Happens Live,76
Inside the Actors Studio,Work Of Art: The Next Great Artist,48
Neil Cavuto,America's Newsroom,17
Neil Cavuto,Myanmar Idol,64
Neil Cavuto,Fox News Sunday,8
Neil Cavuto,America's News Headquarters,66
Neil Cavuto,Mornings with Maria,72
Neil Cavuto,Fox & Friends,78
Old Home Love,Les Nouveaux Explorateurs,74
Old Home Love,L'info du vrai,53
Old Home Love,Fox 13's The PLACE,57
Old Home Love,Marvel - The Punisher,58
Old Home Love,William à midi,47
Old Home Love,Les Documentaires Canal +,79
Old Home Love,L'EFFET PAPILLON,69
Le Débarquement,L'info du vrai,61
Better Call Saul,Close Up with the Hollywood Reporter,45
Player Gets Played,Stalker,14
Player Gets Played,Marry Me,41
Player Gets Played,Resurrection,58
Player Gets Played,Treme,27
Player Gets Played,Deadliest Catch,20
Player Gets Played,Auction Kings,52
Player Gets Played,MASTERPIECE | PBS,11
Player Gets Played,RuPaul's Drag Race,41
Player Gets Played,Downton Abbey,77
Player Gets Played,True Blood,50
Player Gets Played,Rob Dyrdek's Fantasy Factory,19
Player Gets Played,Days of our Lives,56
Player Gets Played,The Walking Dead,25
Player Gets Played,Jeopardy!,61
Player Gets Played,Extreme Couponing,88
Player Gets Played,The Voice,21
Player Gets Played,Preachers on Oxygen,11
Player Gets Played,KING 5 Evening,8
Player Gets Played,WWE Raw,63
Black Box,The View,76
Clangers,BBC Breakfast,51
الثامنة MBC,Driven MBC,72
NOIZ Germany,Jung & Naiv,79
Amazingness,Psych,20
Amazingness,Covert Affairs,56
Amazingness,White Collar,39
Amazingness,Burn Notice,70
Amazingness,Royal Pains,51
Amazingness,Monk,89
NYC-ARTS,The Daily Show,87
NYC-ARTS,Great Performances l PBS,68
NYC-ARTS,Smash,29
NYC-ARTS,Finding Your Roots,8
NYC-ARTS,MetroFocus,41
NYC-ARTS,So You Think You Can Dance,31
Shaun Micallef's MAD AS HELL,Good Game,25
Shaun Micallef's MAD AS HELL,Australian Story,15
Shaun Micallef's MAD AS HELL,Ascension,7
Shaun Micallef's MAD AS HELL,Kitchen Cabinet with Annabel Crabb,42
Shaun Micallef's MAD AS HELL,rage,80
Shaun Micallef's MAD AS HELL,The Book Club,60
Shaun Micallef's MAD AS HELL,Foreign Correspondent,31
Shaun Micallef's MAD AS HELL,7.3,82
Shaun Micallef's MAD AS HELL,Rake,52
Shaun Micallef's MAD AS HELL,Gardening Australia,91
Shaun Micallef's MAD AS HELL,Catalyst,21
Shaun Micallef's MAD AS HELL,News Breakfast,66
Shimmer and Shine,Vaya Semanita,53
Ghost Whisperer,Two and a Half Men,21
Ghost Whisperer,Big Brother,94
Ghost Whisperer,How I Met Your Mother,66
Ghost Whisperer,Survivor,66
Ghost Whisperer,CSI: Crime Scene Investigation,59
Ghost Whisperer,NCIS,19
Ghost Whisperer,Late Show with David Letterman,13
Ghost Whisperer,The Bold and the Beautiful,6
Ghost Whisperer,The Mentalist,24
Ghost Whisperer,The Amazing Race,78
Ghost Whisperer,The Big Bang Theory,33
HBO Boxing,VEEP,62
HBO Boxing,Band of Brothers,74
HBO Boxing,Game of Thrones,16
HBO Boxing,Entourage,42
HBO Boxing,In Treatment,10
HBO Boxing,Hung,95
HBO Boxing,The No.1 Ladies' Detective Agency on HBO,32
HBO Boxing,Tout peut arriver,23
HBO Boxing,Kenny Powers of Eastbound & Down,62
HBO Boxing,True Blood,60
HBO Boxing,Hard Knocks,66
HBO Boxing,Big Love,69
HBO Boxing,Access,31
HBO Boxing,Real Sports with Bryant Gumbel,32
HBO Boxing,Televisa Telenovelas,81
HBO Boxing,Sky Sports Boxing,40
HBO Boxing,O Negócio - HBO,72
X Factor Italia,The X Factor,67
X Factor Italia,The X Factor Greece,56
Skyville Live,The View,6
Muhteşem Yüzyıl Kösem,Up Late With Rylan,22
Muhteşem Yüzyıl Kösem,Sisters,45
Muhteşem Yüzyıl Kösem,Suskunlar,50
Muhteşem Yüzyıl Kösem,Muhteşem Yüzyıl,33
Philip K. Dick's Electric Dreams,Toddlers & Tiaras,54
Philip K. Dick's Electric Dreams,Cake Boss,13
Philip K. Dick's Electric Dreams,Kate Plus 8,49
Philip K. Dick's Electric Dreams,My Big Fat American Gypsy Wedding,49
Philip K. Dick's Electric Dreams,"""Little People",21
Philip K. Dick's Electric Dreams,90 Day Fiance,33
Philip K. Dick's Electric Dreams,Who Do You Think You Are?,61
Philip K. Dick's Electric Dreams,Breaking Amish,69
Philip K. Dick's Electric Dreams,Miami Ink,21
Philip K. Dick's Electric Dreams,"""Love  Lust or Run""",86
Philip K. Dick's Electric Dreams,The Little Couple,14
Philip K. Dick's Electric Dreams,Counting On,90
Philip K. Dick's Electric Dreams,NY Ink,30
Philip K. Dick's Electric Dreams,LA Ink,71
Philip K. Dick's Electric Dreams,Extreme Couponing,21
Philip K. Dick's Electric Dreams,DC Cupcakes,45
Philip K. Dick's Electric Dreams,Four Weddings,94
Philip K. Dick's Electric Dreams,Say Yes to the Dress,84
Philip K. Dick's Electric Dreams,Long Island Medium,87
7 News Townsville,Kitchen Impossible,19
7 News Townsville,7 News Sunshine Coast,81
7 News Townsville,7Olympics,78
Espai Terra,El club de la mitjanit,95
Espai Terra,Crackòvia,35
Espai Terra,Cuines,34
Espai Terra,POLÒNIA,55
Espai Terra,Divendres,77
Espai Terra,Tot o res,25
Espai Terra,Generació Digital,10
Espai Terra,APM?,83
Espai Terra,ESPN Boxeo,77
Espai Terra,Espai Internet TV3,43
Espai Terra,La Riera,61
Espai Terra,Temps d'aventura,30
Espai Terra,El gran dictat,61
Espai Terra,Els Matins,75
Espai Terra,30 minuts,91
Espai Terra,The Chase Australia,78
Espai Terra,TNT Series,84
Espai Terra,Temps de neu,20
SRF bi de Lüt,SRF Heimatland,15
SRF bi de Lüt,SRF Einstein,8
SRF bi de Lüt,Tour Group,95
SRF bi de Lüt,Happy Day,49
SRF bi de Lüt,SRF DOK,54
SRF bi de Lüt,Landfrauenküche,31
SRF bi de Lüt,Ich schänke dir es Lied,59
SRF bi de Lüt,Giacobbo/Müller,78
SRF bi de Lüt,SRF Meteo,71
SRF bi de Lüt,Die grössten Schweizer Talente,8
SRF bi de Lüt,Glanz & Gloria,84
SRF bi de Lüt,SRF Sport,17
SRF bi de Lüt,WILDER,35
SRF bi de Lüt,SRF Eurovision Song Contest,44
Sama Słodycz TVN,BITWA O DOM TVN,18
Sama Słodycz TVN,Mam Talent TVN,11
Sama Słodycz TVN,Fakty TVN,50
Sama Słodycz TVN,TVN UWAGA!,87
Sama Słodycz TVN,Na Wspólnej TVN,5
Sama Słodycz TVN,Prawo Agaty TVN,74
Sama Słodycz TVN,Dzień Dobry TVN,54
Sama Słodycz TVN,Top Model TVN,71
Sama Słodycz TVN,Na językach - program TVN,76
Sama Słodycz TVN,Perfekcyjna Pani Domu TVN,63
Sama Słodycz TVN,MasterChef TVN,56
Sama Słodycz TVN,Taniec z gwiazdami TVN,14
Levántate,Programa Que Tiempo tan Feliz,40
SBT Folia,SBT Jornalismo,67
SBT Folia,Carrossel,82
SBT Folia,Quantico,64
Friends With Better Lives,How I Met Your Mother,50
ESPN RUN,ESPN Redes,20
ESPN RUN,Goles de Europa,94
ESPN RUN,ESPN Bike,23
ESPN RUN,ESPN Woman,24
ESPN RUN,SportsCenter ESPN,37
ABC7NY,Soy Luna,71
ABC7NY,World News Now,67
ABC7NY,Nightline,8
ABC7NY,RightThisMinute,20
ABC7NY,WDR Lokalzeit OWL,89
ABC7NY,Last Resort,61
ABC7NY,Get Shorty,84
ABC7NY,ABC World News Tonight with David Muir,45
ABC7NY,Modern Family,30
ABC7NY,Revenge,92
ABC7NY,Lost,66
ABC7NY,Litton's Weekend Adventure,76
ABC7NY,Ocean Mysteries with Jeff Corwin,12
ABC7NY,FYI Philly,34
ABC7NY,Shark Tank,83
ABC7NY,Dancing with the Stars,77
ABC7NY,Happy Endings,67
ABC7NY,Private Practice,78
ABC7NY,Emigratis,38
ABC7NY,Suburgatory,13
ABC7NY,Sea Rescue,74
ABC7NY,Wheel of Fortune,54
ABC7NY,Jimmy Kimmel Live,24
ABC7NY,666 Park Avenue,77
ABC7NY,Last Man Standing,56
ABC7NY,TechBytes,40
ABC7NY,Downward Dog,94
ABC7NY,Desperate Housewives,82
ABC7NY,ABC 20/20,80
ABC7NY,Rising Star,25
Review,Jeff & Some Aliens,37
Review,Stalker,73
Review,Marry Me,66
Review,Resurrection,70
Review,Treme,5
Review,Deadliest Catch,62
Review,Auction Kings,37
Review,MASTERPIECE | PBS,68
Review,RuPaul's Drag Race,21
Review,Downton Abbey,28
Review,True Blood,54
Review,Rob Dyrdek's Fantasy Factory,89
Review,Days of our Lives,77
Review,@midnight,55
Review,The Walking Dead,60
Review,Jeopardy!,95
Review,Extreme Couponing,41
Review,The Voice,69
Review,KING 5 Evening,20
Review,WWE Raw,52
Australia's Got Talent,Arabs Got Talent,41
Australia's Got Talent,MINDHUNTER,87
Australia's Got Talent,Britain's Got Talent,46
Australia's Got Talent,TODAY,23
Australia's Got Talent,India's Got Talent,42
Australia's Got Talent,Pilipinas Got Talent,59
Australia's Got Talent,60 Minutes Australia,64
Australia's Got Talent,Vietnam’s Got Talent,60
Australia's Got Talent,Asia's Got Talent,19
Australia's Got Talent,A Current Affair,57
Australia's Got Talent,Thailand's Got Talent,65
Australia's Got Talent,Got Talent Global,25
Australia's Got Talent,Got Talent Portugal,77
Australia's Got Talent,Italia's Got Talent Official,64
Australia's Got Talent,Holland's Got Talent,53
Australia's Got Talent,Indonesia's Got Talent,93
Family Food Fight,7 News Brisbane,31
Family Food Fight,60 Minutes Australia,38
Family Food Fight,A Current Affair,7
Family Food Fight,9 News,66
Family Food Fight,TODAY,57
Brooklyn 11223,Idaho Living,70
Brooklyn 11223,The Bad Girls Club,59
Brooklyn 11223,Best Ink,93
Brooklyn 11223,Tanisha Gets Married,55
Scandal,The View,84
Scandal,Mixology,72
Scandal,Extreme Weight Loss,27
Scandal,The Bachelorette,93
Scandal,It Got Better,45
Scandal,Mind Games,36
Scandal,Wipeout,82
Scandal,Killer Women,17
Scandal,Once Upon a Time,22
Scandal,General Hospital,11
Scandal,Modern Family,26
Scandal,Back In The Game,79
Scandal,Body of Proof,65
Scandal,Sense8,19
Scandal,Resurrection,31
Scandal,Duets,25
Scandal,Betrayal,94
Scandal,Dear Uge,48
Scandal,Motive,43
Scandal,Wife Swap,31
Scandal,Shark Tank,29
Scandal,How to Get Away With Murder,88
Scandal,Dancing with the Stars,36
Scandal,Windy City LIVE,34
Scandal,Private Practice,33
Scandal,Suburgatory,70
Scandal,Jimmy Kimmel Live,11
Scandal,Nashville,16
Scandal,The Real,36
Scandal,Whodunnit?,14
Scandal,Pasión y Poder,86
Scandal,This Hour Has 22 Minutes,76
Scandal,Revenge,46
Scandal,Secret Millionaire,55
Scandal,Last Man Standing,59
Scandal,Dish Nation,49
Scandal,Mistresses,16
Scandal,Rookie Blue,33
Scandal,Access,82
Scandal,Lucky 7,81
Scandal,The Chew,58
Scandal,"""Bem amigo""",11
Scandal,ABC Studios Deutschland,33
Scandal,WWE Superstars,77
Scandal,Tin Star,69
Scandal,Desperate Housewives,28
Scandal,Lost,87
TechBytes,Good Morning America,66
TechBytes,World News Now,92
TechBytes,Lost,24
TechBytes,Nightline,48
TechBytes,ABC 20/20,24
TechBytes,Dancing with the Stars,57
TechBytes,ABC 7 Chicago,74
TechBytes,ABC World News Tonight with David Muir,53
TechBytes,Modern Family,55
Join Or Die with Craig Ferguson,Country Buck$ on A&E,55
Join Or Die with Craig Ferguson,Duck Dynasty on A&E,82
Join Or Die with Craig Ferguson,American Hoggers on A&E,23
Join Or Die with Craig Ferguson,Storage Wars: New York on A&E,79
Join Or Die with Craig Ferguson,Storage Wars: Texas on A&E,12
Join Or Die with Craig Ferguson,Don't Trust Andrew Mayne on A&E,9
Join Or Die with Craig Ferguson,Longmire,32
Join Or Die with Craig Ferguson,Bates Motel on A&E,94
Join Or Die with Craig Ferguson,A&E Investigates: The First 48,13
Join Or Die with Craig Ferguson,Storage Wars on A&E,79
Join Or Die with Craig Ferguson,Wahlburgers on A&E,39
Join Or Die with Craig Ferguson,Those Who Kill,74
Join Or Die with Craig Ferguson,Bad Ink on A&E,75
Join Or Die with Craig Ferguson,Beyond Scared Straight on A&E,44
Join Or Die with Craig Ferguson,Nightwatch,34
Eat Bulaga,Bubble Gang,6
Eat Bulaga,Pepito Manaloto,58
Sportv Repórter,Seleção Sportv,72
Sportv Repórter,Style ستايل,29
Sportv Repórter,Fractal,55
Sportv Repórter,ExtraOrdinários - Sportv,9
Sportv Repórter,É Gol,59
Sportv Repórter,Sensei Combate - Sportv,7
Liquid Television,Celebrity Deathmatch,90
Liquid Television,Dog Town USA,17
Liquid Television,The Maxx,37
Liquid Television,Daria,23
Liquid Television,Beavis and Butt-Head,34
Liquid Television,Aeon Flux,51
Liquid Television,Futurama,17
Liquid Television,South Park,75
Liquid Television,Marvel - Daredevil,60
Hockey Night in Canada,This Hour Has 22 Minutes,41
Hockey Night in Canada,Hockey Night Punjabi,51
Hockey Night in Canada,Dear Uge,77
Pasapalabra,Fútbol Mediaset,36
Pasapalabra,El Programa de Ana Rosa,49
Pasapalabra,Sálvame,24
Pasapalabra,Welcome to the Family,90
Pasapalabra,La Voz,46
Pasapalabra,Aída,35
